index,race_id,horse_id,won,y_predict,top_prediction,accuracy
0,5078,976,0,0.28155923,0,False
1,5078,1598,0,0.06931773,0,False
2,5078,1514,0,0.33487055,0,False
3,5078,3673,0,0.2505277,0,False
4,5078,627,1,0.3353752,0,False
5,5078,1271,0,0.4293853,0,False
6,5078,833,0,0.7035332,0,False
7,5078,3751,0,0.28424683,0,False
8,5078,1918,0,0.9022097,1,False
9,5078,1615,0,0.3814967,0,False
10,5078,2704,0,0.058612645,0,False
11,5078,1751,0,0.17145711,0,False
12,5078,2963,0,0.28839815,0,False
13,5078,598,0,0.3329916,0,False
14,5079,2912,0,0.56051284,0,False
15,5079,836,0,0.33472434,0,False
16,5079,1791,0,0.23600979,0,False
17,5079,70,0,0.26592404,0,False
18,5079,624,0,0.60487795,1,False
19,5079,690,0,0.17973071,0,False
20,5079,3765,0,0.5832507,0,False
21,5079,2444,0,0.1439238,0,False
22,5079,696,0,0.53903717,0,False
23,5079,2702,0,0.29290086,0,False
24,5079,3462,0,0.07388926,0,False
25,5079,2621,0,0.2609165,0,False
26,5079,1343,1,0.21628308,0,False
27,5079,2216,0,0.3030731,0,False
28,5080,2832,0,0.34450358,0,False
29,5080,1236,0,0.4240569,0,False
30,5080,1278,0,0.38600117,0,False
31,5080,1121,0,0.27487633,0,False
32,5080,1469,0,0.58576405,0,False
33,5080,549,0,0.36182025,0,False
34,5080,993,0,0.05808946,0,False
35,5080,3522,0,0.41255808,0,False
36,5080,883,0,0.31125453,0,False
37,5080,932,1,0.3470516,0,False
38,5080,3062,0,0.07529364,0,False
39,5080,600,0,0.88648254,1,False
40,5080,1857,0,0.3684909,0,False
41,5080,1297,0,0.14177643,0,False
42,5081,3864,0,0.5757302,0,False
43,5081,2081,0,0.18859132,0,False
44,5081,3140,0,0.08268273,0,False
45,5081,1525,1,0.864681,1,True
46,5081,2869,0,0.5828737,0,False
47,5081,1052,0,0.3487683,0,False
48,5081,1467,0,0.2625966,0,False
49,5081,2399,0,0.08450369,0,False
50,5081,1756,0,0.1811678,0,False
51,5081,1883,0,0.24161437,0,False
52,5081,1028,0,0.40782195,0,False
53,5081,2220,0,0.3793977,0,False
54,5082,1580,0,0.41753444,0,False
55,5082,743,0,0.26598206,0,False
56,5082,3269,0,0.52164507,0,False
57,5082,3504,0,0.24681255,0,False
58,5082,168,0,0.33869165,0,False
59,5082,2636,0,0.4715373,0,False
60,5082,1655,0,0.3542059,0,False
61,5082,998,0,0.58248,1,False
62,5082,3217,0,0.4305798,0,False
63,5082,650,0,0.09462098,0,False
64,5082,3644,0,0.45892012,0,False
65,5082,4192,1,0.22148894,0,False
66,5083,2581,0,0.49457005,0,False
67,5083,2598,0,0.4968379,0,False
68,5083,4114,0,0.05798665,0,False
69,5083,2271,0,0.28714457,0,False
70,5083,1603,0,0.32318196,0,False
71,5083,124,0,0.1721524,0,False
72,5083,625,1,0.6802356,0,False
73,5083,1296,0,0.712952,1,False
74,5083,3208,0,0.11613992,0,False
75,5083,729,0,0.29986292,0,False
76,5083,4134,0,0.16679727,0,False
77,5083,3860,0,0.36676866,0,False
78,5084,1917,1,0.45306563,0,False
79,5084,2589,0,0.35587698,0,False
80,5084,1248,0,0.27412453,0,False
81,5084,3552,0,0.21738836,0,False
82,5084,4203,0,0.44315436,0,False
83,5084,181,0,0.48272052,0,False
84,5084,706,0,0.24089122,0,False
85,5084,1014,0,0.37296954,0,False
86,5084,3718,0,0.65459174,1,False
87,5084,1608,0,0.13909389,0,False
88,5084,2710,0,0.06473896,0,False
89,5084,3363,0,0.5143028,0,False
90,5085,2681,0,0.08023849,0,False
91,5085,2423,0,0.61031383,0,False
92,5085,3926,0,0.46684843,0,False
93,5085,3512,0,0.2619423,0,False
94,5085,2082,0,0.36578846,0,False
95,5085,3145,0,0.38714045,0,False
96,5085,628,0,0.30905792,0,False
97,5085,4290,0,0.11328731,0,False
98,5085,3908,0,0.0407522,0,False
99,5085,2769,0,0.6250102,1,False
100,5085,2403,1,0.25084016,0,False
101,5085,1752,0,0.6067637,0,False
102,5086,3665,0,0.4826191,0,False
103,5086,1494,0,0.5737225,1,False
104,5086,3028,1,0.5447347,0,False
105,5086,963,0,0.33473146,0,False
106,5086,1939,0,0.2560376,0,False
107,5086,644,0,0.32194862,0,False
108,5086,2219,0,0.16478296,0,False
109,5086,3323,0,0.11016038,0,False
110,5086,2186,0,0.14560775,0,False
111,5086,3572,0,0.24379422,0,False
112,5086,4016,0,0.35413793,0,False
113,5086,1365,0,0.32233003,0,False
114,5087,481,0,0.6691603,1,False
115,5087,745,0,0.34381968,0,False
116,5087,3001,0,0.29361266,0,False
117,5087,848,0,0.42033964,0,False
118,5087,2965,0,0.121291615,0,False
119,5087,3972,0,0.32338104,0,False
120,5087,3722,0,0.19711347,0,False
121,5087,530,1,0.44904634,0,False
122,5087,3861,0,0.30953348,0,False
123,5087,406,0,0.30906567,0,False
124,5087,667,0,0.1988431,0,False
